日期及型号,评论
2024年12月14日 · 全能版（主机*1+体感追踪器*1+4应用+便携包*1+PU泡棉*1）,我以前是VIVE Cosmos Elit玩家，当初主要是看中的PCVR最中强的雷达基站追踪定位和无线串流方案，当然这已经是快五年前的东西了。当初Cosmos也可以自定义用光学追踪，不过那个光学追踪延迟玩Beat Saber的延迟在expert难度下很影响操作。昨天签收了这台PICO4ultra，不得不说光学追踪是真的方便，而且这个延迟现在已经发展到刚好不会影响操作的程度了，不刻意感受它是感觉不出来的。而且无线串流SteamVR的体验较好。效果已经勉强达的到我之前一万五配出来的那台elit了。但是便捷性比Elit更强，毕竟一体机不需要装雷达基站。而且这台机器的控制器光学追踪相比我以前用的设备，在定位器甩到屁股后面的时候依旧可以较为准确的定位，而我以前用的则是甩到身后由于摄像头捕捉不到直接丢掉了定位。在我选购这台设备之前我也了解过听说pico4ultra新增了红外定位配合体态识别来辅助定位器光学定位甩到身后摄像头无法直接捕捉的情况，也能在一定程度上达到定位的效果(这对光剑类游戏很重要，毕竟你在甩控制器的时候不总是能保证控制器在头显的摄像头范围内，加购的体感定位环钥匙没来得及体验，有待追评）
2024年6月25日 · 8G+256G畅玩版,使用过一段时间了，不附图，懒得拍，直接说感受。首先第一次接触那么贵的VR，需要划分安全区域，上下共4个传感器，很灵敏，快到边界的时候会提醒你。游戏串流很不错，建议画质开到超清+显示器刷新率的一半，我是超清画质+72hz玩的。建议显卡不要满载，满载会导致串流卡顿。以地平线4为例，我一开始是4k144hz，VR设置的是超清+90hz，显卡占用是80-99%，能跑到100多帧，但是串流到Pico4的里面只有个位数的帧数，特别卡。后来我把显示器内部的画质改到1080p144hz，VR设置为超清+72hz就正常多了，延迟有，从它给我参数上来看50~80ms，但是地平线这种游戏延迟差一点感知不强。总体感受下来，超清画质在VR里面设置100%的比例，比1080p还糊。游戏串流，VR的手柄大多数用不上，还是得键盘/手柄。有线和无线都测过，画质就是糊，比自带的游戏和VR直播要糊，这应该是目前的瓶颈了。原生VR游戏应该会好点，但是延迟还是有些影响的。原生的抖音VR、Pico视频体验还不错，有很多免费的，抖音VR只有最多十个在同时直播，VR资源还是少。Pico视频免费的VR也不算多，但比起前几年的VR算是进
2025年6月19日 · 全能版  主机*1+腿部追踪器*1+4应用+便携包*1+PU泡棉*1,先说一下体验的感觉。第一次接触vr的这种，戴上去看它自带的那种动物世界的视频。感觉那个大象和那个狮子真的很近啊！就像在眼前一样。还是很不错的。然后其他应用的那些游戏玩起来也不错。那个愤怒的小鸟很不错，放了一部电影，看了一下。清晰度可以。他自带的那个视频软件和在手机上看居然差不了多少。因为他那个视频是可以调大小远近的。清晰度可以我看的小黄人3。然后，说说不好的地方吧。感觉这个视线清晰度怎么说呢肯定是没有你看手机清楚的。还是会存在一些模糊。那个mR系统的话，像素不太高啊，能看清手机上收到的验证码，但是会比较花一些，他那些高清的8K视频和那些游戏软件感觉都会好一些，如果是其他的那些不太好的应用那些直播啊不太适配的感觉就比较花呀，还是他自配的那些游戏和那些自配软件里适配比较好的，然后清晰度一定要高的那种，看起来是很不错的清晰度高的话，真的有那种身临其境的感觉，还是很不错的，他那个官方自带的桌面壁纸，那个清晰度也还是可以带上去，你静静的感觉融入那个场景，感觉真的在户外一样感觉还是不错的，现在的话，我感觉主要就是清晰度这个问题，这个清晰度如果能大幅度提高的话，那这个vr眼镜的真实度就会更强
2025年6月8日 · 畅玩版,以下是客观真实评价。 1.设备没问题，非常好，算是国内高水平，和国际上中高水平，有几款非常好玩的游戏，但几乎所有的游戏都花钱，而且不便宜。缺点生态少，甜区小，玩不久就会腻。无法做到和现实世界一样，看起来有点模糊。 摄像头拍摄的外部环境非常模糊，和q3比不了。手势识别挺好玩儿的，但识别不太准确。 2.物流很快，顺丰标快，pico官方电话售后（非该店铺），不错。 3.接下来要说到我在购物中遇到的问题：骗我3次，恶心我无数次。 事情是这样的，刚开始我的语气态度好，是个正常人 这几天被店家搞来不正常了。 被恶心哭了。 作为一个大学生，买一个MR眼镜的玩具，属实有点贵。 买之前我想要领满权益，买之前，反复和商家确认，是否还有优惠？所有权益都领完了吗？ 还有隐形福利吗？商家“斩钉截铁”告诉我，没有了！ 买的第2天，我的朋友告诉我，还有一个推荐有礼活动，刚开始我没说我问过，他们就说补不了。死活补不了 后面我又拿出了聊天记录，我说我问过，他们不告诉我。 后面就因为这件事一直在拉扯，扯了一天，态度极其不好，流程很缓慢，直到最后我说我要给客服打电话，他们售后人员才在晚上接近10点给我打电话……
2023年11月7日 · 8G+256G畅玩版,收到玩了几天，感觉挺好的，手柄材质不错，按键平滑顺畅。头显后边有电池配重的设计很好，之前有玩过别的VR头显，重量都在前面就老感觉会往下掉，PICO就完全没有这种问题，佩戴体验比较好。  体验了送的游戏，沉浸感、真实感确实很强，跟看视频演示感觉完全不一样。玩音乐游戏会强迫我站起来，因为坐着够不着，拳击游戏几个回合打下来，整出一身汗，很多游戏都是要挥动手柄才能完成动作，确实也能消耗卡路里。  玩剑与魔法，走动转向有眩晕感，因为VR嘛，比较真实，大脑感觉在动，但实际又没有，晕乎乎感觉像喝了点酒，不过对我来说还是小意思。设置瞬间转向或者传送可以减少眩晕感。  PC串流方面，玩了绿色地狱和生化危机，和电脑上玩又有不同的感受，砍树要自己用刀砍，棍子要自己削，开枪要亲手瞄准，可以说VR版完全是两个游戏。 不过呢，也能感受到里面游戏、视频画面不是特别清晰，会糊，倒不是说镜头分辨率不行，因为在大厅里边，看UI还是比较清晰的，音游感觉也还可以，应该说不少游戏或者视频其实就没有那么高清，这个可能有受到GPU性能以及传输速度的限制。但总体来说，买回来游玩健身还是挺值得。
2024年11月11日 · 运动版,机器没问题，差评是给以旧换新的，拜托官方不要再选这样的合作商了，不然以后都没人买你的东西。原因如下:完全不建议用这家的回收，如果不是pico官网指定要用新家才给你用政府补贴，根本不会用。1，他们承诺的检测时间就是扯淡，说了48小时检测，根本就做不到。你要在网上催了他们几天，再打电话催，他们才给你“检测”。而且就是看看外观，根本就没测。说你外观破损了，从1100-100到1000。2，我提交了回收单就告诉他们，我的是256不是128，我选成128了。是否要重新提个新的订单。他们说不用，因为他们会“检测”。好的，检测结果就是以128的破损给我估价，说1000。我指出他们没有检测，他们就开始态度很恶劣。3，等你指出了再面对了他们的电话各种态度很差，不耐烦。好不容易等来电话，说950。这是逗我？因为我揭穿了他们不检测？然后说搞错了，又打电话来说1100。结论就是，我挺肯定我的所谓外观破损没有他们说的严重，95新我挺确定的。闲鱼128的95新至少卖1500以上，更不要说256了。胡乱报价，不检测，真的比起爱回收差不知道几个档次。绝对这辈子不会用这个回收了。
2024年8月8日 · 8G+128G畅玩版,购买的 PICO4 玩了一段时间，来和大家分享一下我的真实感受。  首先，从外观设计来看，PICO4 简约时尚，佩戴起来非常舒适，即使长时间使用也不会给头部和脸部带来太大的压力。而且它的重量分布很合理，不会有明显的前倾或后坠感。  在画面显示方面，真的让我惊艳到了。4K+ 的分辨率，画质清晰细腻，色彩鲜艳*真，无论是玩游戏还是观看视频，都能带来沉浸式的视觉体验。刷新率也足够高，画面流畅无卡顿，几乎感受不到延迟。  性能方面，运行速度很快，各种大型 VR 游戏都能轻松应对。操作起来非常灵敏，手柄的定位精准，反馈及时，让我在游戏中能够尽情发挥。  内容生态也相当丰富，有大量的优质游戏、影视资源可供选择。不仅有热门的游戏大作，还有很多适合不同年龄段和兴趣爱好的应用。  续航能力还算不错，充满电后可以满足我一两个小时的使用需求。  PICO4 绝对是一个值得考虑
2023年11月18日 · 8G+256G畅玩版,一般都不写评价，难得写一次，保证客观真实，买这个完全是盲入，今年双十一不知道买些什么，往年会囤货，今年没了兴趣，但5000返400的权益不想放弃，想着买些什么吧，正好刷到这款VR一体机，之前在体验店和VR馆也接触过，但都需要店家帮忙佩戴设备，没有这款这么方便，即戴即用。说实话，画质和音效没有之前店家的好，属于入门够用的层次，但胜在方便，主打一个休闲体验，对于以往的手机2d观感，完全是降维打击，如果是游戏和视频的发烧友可以忽略，但一般体验玩家，完全可以闭眼入。游戏很多是要付费的，但免费的也够玩，优点是不像手机游戏固定一个姿势容易劳损，这个游戏时全身参与，同时运动到了，很实用。缺点是电量一般，正常一个多小时，但反过来想也算是变相提醒自己休息，眼睛和身体都会疲劳，一个小时也差不多。以上都是真实评价，仅供参考。一个手机的价格，值得推荐。
2024年4月16日 · 8+256G畅玩版,首先，pico4的外观真的好酷炫呢！拿在手里感觉超级有科技感，就像拿着未来的小玩意儿一样。它的屏幕显示真的好清晰，色彩鲜艳，看起来超级舒服。而且，它的双目4320 x 2160分辨率真的让我惊艳到了，感觉就像在看真·2K电影一样，超级棒！ 然后，pico4的手柄设计也很人性化呢。握在手里感觉很舒适，操作起来也很方便。而且，手柄的宽频马达振动感真的好强烈，每次按下按钮都能感受到细腻的触感反馈，让我更加沉浸在游戏和虚拟世界中。 说到游戏和虚拟世界，pico4的体验真的太棒了！我试玩了一些游戏，感觉就像真的进入了另一个世界一样。而且，pico4还支持高清彩色透视和裸手交互，让我可以更加自由地探索和体验虚拟世界。 总的来说，pico4是一款非常棒的VR一体机！它的外观酷炫、显示清晰、手柄舒适、游戏体验出色。但总体来说还是值得购买的。
2024年6月21日 · 8G+256G畅玩版,犹豫了很久，最终还是下单了，感觉很不错，值得这个价格。买来主要是给父母用作vr运动，打打乒乓球羽毛球，也是很有意思的。关于这个清晰度，就跟1080p显示器差不多，别把双目4k想象的那么高清，像素点是可以看到的，但是在这个价格下，你想看不到那就多花10倍价格去买VisionPro吧，总体而言还是很不错的，刷刷抖音看看直播都可以。待机的话还是可以的，打乒乓球打了40分钟用了39的电，这么看完整待机时间应该也就是1个半小时了（我开了90hz和画面增强等影响续航的功 能）。总而言之，这个设备，值这个价格，可以给你带来不一样的感觉，是个好东西！如果你有vr需求，且不会弄翻墙等一系列麻烦事，pico的确是最好的选择，希望pico加油，多更新一些好功能，加油。
