日期及型号,评论
2024年10月11日 · 【AR lite眼镜+主机套装】空间电脑随身携带,拿到之后感觉跟其他的ar眼镜没啥区别，就外观比较时尚，但是用起来根本停不下来！该有的都有，所有应用都能玩，蓝牙连键鼠直接起飞！平时带去公司上班电脑就没怎么打开过了（除了写ppt），看个小视频啥的领导也不知道我在干嘛哈哈。要是后面把连接线取消掉就好了，估计在未来电脑就没有了，科技的车轮滚滚而来啊，加油加油
2024年11月16日 · 【AR lite眼镜+主机套装】空间电脑随身携带,Rokid AR Lite轻便的设计适合日常佩戴，无论是通勤、出差还是休闲时光. Rokid AR Lite 提供巨幕模式，可以在家中享受到如同 IMAX 影院般的观影体验.� 办公效率方面，多联屏功能使得可以同时处理多项任务，极大地提升了办公效率.�
2024年11月16日 · 【AR lite眼镜+主机套装】空间电脑随身携带,多次购买，一代比一代有进步，祝不久将来推出新的产品。
2024年11月16日 · 【AR lite眼镜+主机套装】空间电脑随身携带,很有意思的产品，买来主要是为了玩玩游戏看看电影，但是感觉需要探索的内容还蛮多，期待进一步的体验
2024年11月16日 · 【AR lite眼镜+主机套装】空间电脑随身携带,总体来说，确实很不错，客服六月的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐
2024年11月16日 · 【AR lite眼镜+主机套装】空间电脑随身携带,我本来一直使用雷电的S1，这次雷电3和这个lite我都买了，试用后我留下了这个，原因就是lite的功能更强，屏幕更接近与VR。2个品牌的显示大小都差不多，画质可能雷电3更好一点，但是我还是喜欢lite的功能和色彩，雷电3的APP太少了。 我主要就是看片子和switch，有个惊喜就是雷电搭配switch的JOYDOCK可以使用在MAX 2眼镜上。 客服[十月]也很耐心的讲解了各种功能的使用，服务非常周到，点个赞。
2024年11月16日 · 【AR lite眼镜+主机套装】空间电脑随身携带,期待了好久终于到货，买之前特意去杭州的实体店里体验了好久，清晰度很高，个人感觉不带那个遮光的会更舒服一点，眼镜没问题，就是这个配套的玩意用了一会居然烫手，噪音有点大，不知道什么原因，看电影还是很不错的，就像在电影院里一样！我的小米Fod3和老婆的果16都可以直接插，不需要投屏，但没必要，因为你还得在手机上操作……感觉有点鸡肋了，当个便携屏幕挺好，总得来说还过的去，慢慢摸索吧
2024年11月16日 · 【AR lite眼镜+主机套装】空间电脑随身携带,眼镜已收到，过程有点久，包装挺好，试了一下也是自己需要的品种，多屏办公，看剧挺不错。画质清晰，可以调整屈光度，对近视的人比较方便。。。
2024年11月17日 · 【AR lite眼镜+主机套装】空间电脑随身携带,东西还不错，个人觉得用射线操作便捷
2024年11月17日 · 【AR lite眼镜+主机套装】空间电脑随身携带,买给儿子的成人礼，我自己也很欢喜。首先因为我近视，用了这个再也不担心，画质很清晰，也不用戴耳机耳朵疼。其次是因为轻办公，平时出门不想带电脑，有了这个就能解决了，射线操作感也很好。
2024年11月17日 · 【AR lite眼镜+主机套装】空间电脑随身携带,戴了好久好久的眼镜，真的是一个非常好的东西，比我预期想象的还要好，特别特别的好，客服回应也快，虽然中间出了点儿小插曲。但是也超级符合我的预期。
2024年11月17日 · 【AR lite眼镜+主机套装】空间电脑随身携带,收到眼镜了，之前买过一代，这次新出，迫不及待买了二代，一直喜欢这款智能AI眼镜。客服九月也很耐心，不懂的就问她，很有耐心的回复我。满意。
2024年11月17日 · 【AR lite眼镜+主机套装】空间电脑随身携带,比一代产品强多了，值得购买
2024年11月17日 · 【AR lite眼镜+主机套装】空间电脑随身携带,眼镜清晰度可以，在较黑的环境下显示效果更好。外放声音隐私性比预期好，打字可以语音识别替代。
2024年11月17日 · 【AR lite眼镜+主机套装】空间电脑随身携带,终于收到了期待已久的rokid新品，初步试用了一下感觉比上一代产品又进化了很多，操作界面更加丰富，等折叠键盘到手再试试轻办公！ 新款station做工很好，触摸板很方便，几分钟就适应了！  九月客服非常耐心，解答了我很多问题！  以后每天书包里又多了个小盒子，并不占地方，但是将给我打开新世界大门！
2024年11月17日 · 【AR lite眼镜+主机套装】空间电脑随身携带,这个rokid Ar lite 显示效果出乎意料的好！操作系统也非常方便，应用程序也多，非常值得！�⬇️
2024年11月17日 · 【AR lite眼镜+主机套装】空间电脑随身携带,非常不错的眼镜，很喜欢，客服也很nice，很不错哟
2024年11月18日 · 【AR lite眼镜+主机套装】空间电脑随身携带,rokid这款新款眼镜质量杠杠的，配戴轻巧，画面显示清晰细腻，功能强大，是工作娱乐的好帮手，尤其是客服小妹妹非常耐心贴心，解答咨询快速周到，值得大大表扬！
2024年11月18日 · 【AR lite眼镜+主机套装】空间电脑随身携带,东西不错，客服 9 月很热情
2024年11月18日 · 【AR lite眼镜+主机套装】空间电脑随身携带,买过rokid air2的产品，一开始买就是因为近视度数可调，对近视用户比较友好，新买的ar lite昨天刚到了，对比了下使用体验操作方面比一代星站多了触屏，相对方便了很多，不然还是没有解决按键或者细节操作需要从眼镜下方真实视野观看的问题。其次实测一代星站和二代station不通用，哈哈。然后ar空间计算机方便，对比vision pro来说还是有明显差距，空间视场角lite明显有视野边际，而且里面的空间应用都没有拉伸放大以及拉进拉远的功能，空间体验感一般
2024年11月18日 · 【AR lite眼镜+主机套装】空间电脑随身携带,商品收到咯，特别喜欢，一收到就迫不及待地打开了，这次购物体验不错。眼镜调节度数很不错。就是刚好卡在我能用我老婆用不了的度数。这方面可以提升一下
2024年11月18日 · 【AR lite眼镜+主机套装】空间电脑随身携带,客服回复及时，新的眼镜比旧款佩戴上舒适度提升了不少。目station还在试用中，软件和原来的完全不一样了。
2024年11月18日 · 【AR lite眼镜+主机套装】空间电脑随身携带,明明是预售，标题上也不写出来。***要等20多天。
2024年11月18日 · 【AR lite眼镜+主机套装】空间电脑随身携带,等了好久终于收到了，刚接手机试了下，显示很清晰，其他操作还在学习中。感谢客服九月的指导，购物感觉很好。
2024年11月18日 · 【AR lite眼镜+主机套装】空间电脑随身携带,预售等了一个月，收到玩了两天确实不错，值得等待，音量稍微有点小，在家里够用，遮光罩做成磁吸的应该会更好
2024年11月19日 · 【AR lite眼镜+主机套装】空间电脑随身携带,东西到手体验过后第一感觉就是，果然没白等！看影视它就是私人影院，玩游戏就是清晰大屏，办公也很方便，同事体验过后都不想还了。顺便感谢客服十月、九月和八月，都很耐心的回复问题！
2024年11月19日 · 【AR lite眼镜+主机套装】空间电脑随身携带,头次接触AR眼镜 画质音效都不错，可以3联屏很方便。主要用来观影 玩主机 掌机游戏，还在摸索中 客服九月回复很全面
2024年11月19日 · 【AR lite眼镜+主机套装】空间电脑随身携带,清晰度还不错，观影体验很好，美中不足的是主机的风扇声音有点大
2024年11月19日 · 【AR lite眼镜+主机套装】空间电脑随身携带,盼了两个多月终于拿到AR Lite了，先迫不及待的试了一把躺在床上看电影，太爽了。还有很多功能，后面再慢慢挖掘吧。做工很精致，显示效果很棒，使用体验也很好，为中国有这样的创新高科技产品而自豪！  还要表扬一下客服九月，很热情很有耐心的多次解答各种问题，提供的信息准确而清晰。
2024年11月19日 · 【AR lite眼镜+主机套装】空间电脑随身携带,这款产品总体来说表现不错，尽管刚开始试用时未撕膜导致清晰度有所不足，但撕膜后清晰度明显提升。相比VR眼镜，其便携性和轻便性使其成为私人显示屏的不错选择，且使用时不会产生晕厥感，具备一定的VR体验，且兼容安卓软件。  优点包括便携、不压头，可以随意调整姿势，适合多种使用场景。购买此盒子主要是为了提升生产力，目前主要用于观看爱奇艺。  但是也存在一些缺点。对于眼睛较大的人来说，可能无法完全看到全屏，眉心处会出现阴影，调整后下部显示可能会不完整，边缘部分有些模糊。此外，如果盒子的CPU性能能提升到骁龙8系列的水平，性价比会更高。目前VR游戏较少，后续可能需要寻找其他软件来弥补，且缺乏体感套件等配件。
2024年11月19日 · 【单眼镜】直连手机平板主机秒变大屏,非常好的产品，比上一代屏幕清晰度提升很大，佩戴也很舒服
2024年11月20日 · 【AR lite眼镜+主机套装】空间电脑随身携带,体验很满意，是预期的视觉，功能强大，科技拉满
2024年11月21日 · 【AR lite眼镜+主机套装】空间电脑随身携带,一拿到手就迫不及待的开箱，机器上手简单，科技感强，对比传统的VR眼镜轻了很多，戴出去也不会显得很“奇怪”，同事们都说你怎么带着个�️咔咔傻笑��
2024年11月21日 · 【AR lite眼镜+主机套装】空间电脑随身携带,偶尔看见B站使用推荐，主要是度数条件能到600让我决定下单的。毕竟我一直很讨厌带着两幅眼镜的体验感。目前测试，如果不配键盘和鼠标，纯靠station，主要还是看片子合适。但是如果适配上键盘鼠标那就是很不错的临时生产力。作为眼镜的整体体验不错，在跑动的汽车副驾驶佩戴都不会晕车。�眼睛疲劳感也还不错，基本我看一个小时摘下没觉得眼睛干眼睛刺。系统核心好像是小米，安卓的系统，适配体验基本可以，主要主流软件都能用。有些操作稍微繁琐了点，主要是比如优酷看视频，我要退出返回优酷主页面，貌似点不出来，我一般都是靠关闭再开。散热还可以，特别现在天冷了，这点热量就不足一提了。天热可能还是要空调间。�明年的glasses有点期待，加油。
2024年11月21日 · 【AR lite眼镜+主机套装】空间电脑随身携带,总体来说还不错，优点就是随身带了个电脑，当然缺点也是不少的，毕竟产品不成熟，首先就是发热严重，大约1小时眼镜和主机就烫手了，电池不耐用，视野里的应用界面也不是太友好，还有很多优化空间，非常累眼，1小时眼睛就酸涩，不过这是未来的趋势，希望越做越好
2024年11月21日 · 【AR lite眼镜+主机套装】空间电脑随身携带,�淇大宝：好东西要与好朋友分享，和大�一起随时随地用AR�巨幕看成毅《深潜》，为爸爸打call！❤️
2024年11月22日 · 【AR lite眼镜+主机套装】空间电脑随身携带,十月客服沟通很顺畅，回答迅速 产品可玩性很高，相对于MAX升级了很多，等键盘⌨️到了再试试办公是否便捷
2024年11月22日 · 【AR lite眼镜+主机套装】空间电脑随身携带,双十一给自己买的玩具，总体来说觉得还是有可要玩耍性的，资源要是有更多就更棒了！
2024年11月22日 · 【AR lite眼镜+主机套装】空间电脑随身携带,第一次体验类似产品，很新奇有趣。电脑手机都不想看了，刷视频，网络聊天，看书都用这个。等键盘到了试试办公写代码啥的。客服【十月】很好【九月】很棒。开机声音有些大，希望能够自己控制或关闭。还有系统里希望能够自己新建文件夹。期待 rokid 软件系统越做越好，持续更新，不断给我们新奇的体验吧。记得撕下 station 2 背面风扇口的防尘膜哦
2024年11月22日 · 【AR lite眼镜+主机套装】空间电脑随身携带,自从入手了ROKID AR LITE眼镜，我的日常生活和娱乐方式完全改变了！首先，这副眼镜给我的观影体验简直太震撼了，就像随身携带了一个私人影院，300吋的虚拟巨幕让我在家里就能享受到电影院级别的效果。而且，阳光下画面依然清晰，色彩饱满，这技术真的牛！ 超喜欢它的多任务处理能力，现在我可以一边玩游戏一边查攻略，还能同时浏览网页，这种效率提升不是一点点。 而且，这眼镜真的很轻便，几乎感觉不到它的存在，长时间佩戴也不会感到不适。它的设计真的很人性化，无论是鼻托还是镜腿，都超级柔软舒适，让我可以随心所欲地享受AR带来的便利。 说到技术，ROKID AR LITE的单目摄像头方案和AI算法真的让我大开眼界。它不仅让眼镜更轻薄，而且功能强大。 最后，性价比真的没话说，比起那些高端的Apple Vision Pro，ROKID AR LITE的价格真的很亲民，但体验上却丝毫不逊色。总之，这副眼镜让我的生活变得更加多姿多彩，真心推荐给每一个追求高科技和高品质生活的朋友！
2024年11月23日 · 【AR lite眼镜+主机套装】空间电脑随身携带,产品很棒，这已经是我用过的第三代的产品了，这次升级真的和我带来很大的惊喜，效果是我用过这么多产品里面搭配的最好的组合，娱乐影音还有轻办公都没有问题！都是显而易见的，希望以后还可以有更好的进步和升级，推荐
2024年11月23日 · 【AR lite眼镜+主机套装】空间电脑随身携带,使用了，感觉很好，感叹于技术的先进。出差路途上的完美陪伴，看电视看手机再也不用低头了，拯救了我的颈纹！
2024年11月23日 · 【AR lite眼镜+主机套装】空间电脑随身携带,入手的第一个ar眼镜，期待了很久终于收到了，试用了几天才来评价，真的很好用啊，而且方便携带，600°近视调解简直太赞了，打一小时左右游戏摘下眼镜没有想象中的疲劳感，音质也不错而且漏音不会打扰到别人，私密感拉满，其他功能还在摸索，期待更多惊喜
2024年11月23日 · 【AR lite眼镜+主机套装】空间电脑随身携带,包装精美，客服态度很好，回复及时。  佩戴感受: 眼镜整体重量算中等适中，鼻托是一大改进，可以自由调节高度。 近视调节只能0-600度，所以超过600度的朋友最好跟客服说一下再配一个镜片，不然戴久了眼睛容易疲劳。  系统内容感受:  和我想象的有点不同，我当初以为是兼容手势控制，其实是只能用station控制，或者蓝牙外设。里面内置的app足够丰富了，可以看出偏向于轻办公/轻娱乐方向。微信/qq/抖音/头条/各类影视app/小游戏都有，邮箱/云电脑/网盘/wps/office软件齐全，带个蓝牙键盘，就可以直接出差了，随时随地办公。  总结: 这款产品定位清晰，就是给自由工作者使用，适合那些经常在外的人办公，机场，快餐店，地铁站，商场等等，只要有WiFi的地方，完全可以办公。甚至你自己买个包年的随身WiFi，跑大山民宿里也一样可以办公，再也不用带着个手提电脑到处走了。
2024年11月23日 · 【AR lite眼镜+主机套装】空间电脑随身携带,显示效果不错，清晰度OK，连上station2还挺好玩。东西忘记带回家，过两天再拍照追评！
2024年11月23日 · 【AR lite眼镜+主机套装】空间电脑随身携带,这款产品总体来说表现不错，相比VR眼镜，其便携性和轻便性使其成为私人显示屏，不是第一次购买此类产品，入手同类的对应要再外加磁吸镜片，让朋友看麻烦了一点。这款能自己调还是方便很多。其它优点包括便携、不压头，可以随意调整姿势。但是也存在一些缺点。系统优化还需要再提升，比如开机声音那么大怎么调？ 音量调节的画面总是双重。总结，很好的出行便携屏幕，系统还有可以优化的空间。目前使用也没大问题。使用中客服十月九月也有帮忙解答。谢谢
2024年11月24日 · 【AR lite眼镜+主机套装】空间电脑随身携带,眼镜佩戴挺舒适的，方便日常随身办公娱乐。声音方面听起来也比较舒适，隐私性较好。感谢客服十月的细心解答，服务态度很好。
2024年11月24日 · 【AR lite眼镜+主机套装】空间电脑随身携带,第一次买AR眼镜。做了很多功课，对比了很多个品牌，最后选择了Rokid lite套装，空间电脑的概念吸引了我。到手以后基本上符合预期。使用感受：操作简单，很容易上手。显示清晰没有颗粒感，画面大小可以拉伸调节，声音空间感不错，手机上可以安装的APP基本上都可以安装。客服十月有问必答，服务热情，给他点个赞。
2024年11月24日 · 【AR lite眼镜+主机套装】空间电脑随身携带,超炫酷，鄙人觉得比iPhone款更轻便，相对于旧款来说新功能更多
2024年11月25日 · 【AR lite眼镜+主机套装】空间电脑随身携带,收到了，刚连上试了一下，声音效果和图像都很不错，等键盘到了再试试办公
2024年11月25日 · 【AR lite眼镜+主机套装】空间电脑随身携带,眼镜套装收到了，遂然等的时间长了点，但真的不错，挺好用的。客户小姐姐也很热情，回复问题及时。
2024年11月26日 · 【AR lite眼镜+主机套装】空间电脑随身携带,使用挺方便的，解放了我的颈椎，就是什么时候能进步到不用连线就更棒了，自带3d内容还是少了一些，希望能加强，镭射总是被我误触发，应该是带着活动时，能固定使用方式就好了。
2024年11月27日 · 【AR lite眼镜+主机套装】空间电脑随身携带,最近忙，也没怎么用，总体感觉还不错，画面清晰，可调整屈光挺好的，功能还待完善，因为有电视电脑对我来说，使用场景好像不多，偶尔看看。
