title--qJ7Xg_90,title--qJ7Xg_90 2,title--qJ7Xg_90 3,title--qJ7Xg_90 4,text--eAiSCa_r,priceInt--yqqZMJ5a,priceFloat--XpixvyQ1,priceDesc--jykuwuhx,realSales--XZJiepmt,procity--wlcT2xH9,procity--wlcT2xH9 2,subIconWrapper--Vl8zAdQn,subIconWrapper--Vl8zAdQn 2,shopNameText--DmtlsDKm,title--qJ7Xg_90 5,subIconWrapper--Vl8zAdQn 3,shopTagText--wujObz6g
支持88VIP消费券VITURE ProARxr vr全景vision pro平替支,智能,眼镜,眼镜,MicroOLED,2897,0.03,券后价,本月行业热销,广东,广州,满1500减150,官方立减12%,Viture智能设备旗舰店,,,
【新品上市】Xiaomi小米AI小米骨传导拍摄小米ai超级小爱小米,眼镜,智能,眼镜,,1999,,,4000+人收货,北京,,3期,退货宝,小米官方旗舰店,眼镜,包邮,12年老店
【新品首发丨热卖爆款】雷鸟RayNeo Air 3s Pro口袋电视AR高清观影非vr支持iPhone16,智能,眼镜,眼镜,,1597,0.03,券后价,1000+人收货,广东,东莞,满1500减150,官方立减12%,雷鸟智能眼镜旗舰店,,,回头客1万
【叠加消费券】RokidARLite乐奇ARmax2若琪air3D观影游戏办公三联屏显示直连电脑手机设备,智能,眼镜,,MicroOLED,3097,0.03,券后价,本月行业热销,安徽,滁州,满1500减150,官方立减1000元,rokid乐映专卖店,,淘金币已抵1.97元,
【叠加88消费券】RokidARLite乐奇ARmax2若琪air3d观影游戏手机直连ai非VR支持三联屏全生态应用下载,智能,眼镜,,,3097,0.03,券后价,300+人收货,浙江,杭州,官方立减12%,12期,rokid旗舰店,,淘金币已抵1.97元,回头客1千
【入会下单立减250 赠依视路镜片】PICO 4 Ultra 一体机vr全景vrvr设备一体机vr投屏vr游戏,智能,眼镜,眼镜,高通,4297,0.03,券后价,300+人收货,山东,青岛,满1500减150,官方立减12%,PICO旗舰店,眼镜,,回头客1千
XREAL One   AR  原生3DoF空间悬停  非vr 巨幕影院 自研X1芯片,智能,眼镜,智能,,3297,0.03,券后价,300+人收货,江苏,苏州,满1500减150,官方立减12%,XREAL旗舰店,眼镜,,回头客7千
iTour亲爱的翻译官AR翻译实时翻译同传在线翻译英语AI,眼镜,智能,,ChatGPT,5499,,券后价,本月行业热销,安徽,合肥,包邮,,iTour 亲爱的翻译官企业店,,,回头客3千
【2025新品发售】华为2钛空圆框光学镜飞行员变框蔡司配镜片太阳墨镜通话蓝牙耳机4代二代黑科技,智能,眼镜,,,1279,,补贴价,200+人收货,河南,郑州,热销爆款,满800减80,华为乐之途专卖店,,已补500元,回头客3万
【热卖爆款丨AI】雷鸟V3 AI拍摄无线蓝牙音频无线耳机语音操控镜架款非平光镜,眼镜,眼镜,智能,,1797,0.03,券后价,200+人收货,广东,东莞,满1500减150,官方立减12%,雷鸟智能眼镜旗舰店,眼镜,,回头客1万
华为2 智慧播报颈椎提醒长续航无线蓝牙华为耳机官方正品,智能,眼镜,,5.3,1399,,券后价,200+人收货,广东,东莞,6期,退货宝,华为官方旗舰店,,,回头客100万
【热销】小米米家音频2轻盈长续航多款式可选,智能,眼镜,,,1097,0.03,券后价,200+人收货,北京,,满800减80,3期,小米官方旗舰店,,淘金币已抵1.97元,12年老店
华为2蓝牙华为4代翻译2025新款官方正品,智能,眼镜,智能,5.3,1279,,补贴价,200+人收货,河南,郑州,热销爆款,满800减80,华为舒耀专卖店,眼镜,已补700元,回头客5万
现货新品小米AI彩色电致变色版长续航xiaomi墨镜拍摄,眼镜,智能,眼镜,,1999,,,100+人收货,江西,赣州,3期,包邮,云合数码,,公益宝贝,13年老店
华为2蓝牙华为4代翻译官方原装正品,智能,眼镜,智能,5.3,1279,,补贴价,100+人收货,广东,深圳,热销爆款,满800减80,华为五洲联鑫专卖店,眼镜,已补800元,回头客6万
二手Pico 4Neo3/4先锋版vr一体机vr3dvr游戏视频,眼镜,智能,眼镜,,1158,,券后价,100+人收货,广东,广州,店铺满1000减70,退货宝,塞尔达电玩,眼镜,包邮,8年老店
【新品首发】雷鸟RayNeo Air 3s 口袋电视AR高清观影非vr支持iPhone16,智能,眼镜,眼镜,,1497,0.03,券后价,100+人收货,广东,东莞,热销爆款,满800减80,雷鸟智能眼镜旗舰店,,官方立减12%,回头客1万
iTour亲爱的翻译官AR翻译 实时对话同声多国语言 字幕演讲提词器 英语出国会议在线离线AI翻译,智能,眼镜,眼镜,ChatGPT,4999,,券后价,98人收货,安徽,合肥,满1500减150,包邮,亲爱的翻译官旗舰店,,,
【政府补贴 立减15%】INMO GO2 AR 实时同声翻译机 隐形字幕演讲提词器AI 出国翻译官神器,智能,眼镜,眼镜,,3997,0.03,券后价,95人收货,广东,深圳,满1500减150,官方立减12%,INMO旗舰店,,12期,
二手Pico 4Neo3/4先锋vr一体机256G内存体感VR游戏3D视频,眼镜,智能,,,729,,,93人收货,江苏,无锡,,,神奇宝贝数码,,,
【新品首发丨AI】雷鸟RayNeo V3 Slim AI拍摄无线蓝牙音频无线耳机语音操控镜架款,眼镜,眼镜,智能,,1797,0.03,券后价,92人收货,广东,东莞,热销爆款,满1500减150,雷鸟智能眼镜旗舰店,眼镜,官方立减12%,回头客1万
华为VRGlass 6DoF游戏套装手柄套装AR虚拟现实体感游戏机头戴式3861,智能,眼镜,眼镜,不支持智能,499,,券后价,90人收货,广东,广州,官方立减200元,包邮,苏宁易购官方旗舰店,,,9年老店
【送近视镜片】华为3代飞行员黑科技耳机蓝牙墨镜可配镜片第三代可替换太阳镜翻译蓝牙耳机降噪,智能,眼镜,,,759,,券后价,69人收货,河南,郑州,热销爆款,满500减50,华为乐之途专卖店,,官方立减12%,回头客3万
雷鸟Air 3第三代口袋电视AR高清观影非vrvision pro平替支持iPhone16,智能,眼镜,眼镜,,1647,0.03,券后价,49人收货,广东,东莞,满1500减150,官方立减12%,雷鸟智能眼镜旗舰店,,,回头客1万
【直连华为iPhone】GOOVIS Art开放式高清3D头戴显示器AR连电脑平板游戏机办公航拍头显非VR,眼镜,智能,,MicroOLED,3499,,券后价,47人收货,广东,深圳,官方立减12%,6期,goovis酷睿视旗舰店,,退货宝,7年老店
【新品首发】雷鸟RayNeo X3 Pro 概念AI真无线双目全彩显示光波导AR翻译便携XR,眼镜,眼镜,眼镜,,9147,0.03,券后价,46人收货,广东,东莞,热销爆款,满1500减150,雷鸟智能眼镜旗舰店,眼镜,3期,回头客1万
Xiaomi小米AI小米骨传导拍摄超级小爱小米ai,眼镜,智能,眼镜,,1715,,券后价,46人收货,广东,深圳,退货宝,包邮,金钊通讯,眼镜,,回头客4千
【新品上市】Xiaomi小米AI2025年度新品 超长续航 骨传导高清视频拍摄录制男女同款墨镜,眼镜,智能,眼镜,,1999,,券后价,41人收货,广东,东莞,包邮,,小米壹理专卖店,智能,,回头客5万
雷鸟魔盒 雷鸟AR终端 内容生态 即插即用 手机电脑投屏非VR一体机,眼镜,智能,智能,,701,0.03,券后价,37人收货,广东,东莞,满500减50,官方立减12%,雷鸟智能眼镜旗舰店,眼镜,3期,回头客1万
华为2开放式聆听蓝牙耳机翻译智慧播报4代舒适佩戴,智能,眼镜,,5.3,1214,0.03,券后价,35人收货,上海,,满800减80,淘金币已抵1.97元,天猫超市,,,买过的店
【支持88VIP消费券】VITURE One LiteAR近视调节支持3DoF定屏高清观影游戏大屏XRvision pro平替,智能,眼镜,眼镜,,1317,0.03,券后价,35人收货,广东,广州,热销爆款,满800减80,Viture智能设备旗舰店,,官方立减12%,
【新品首发|热卖爆款】雷鸟RayNeo Air3s ProAR高清观影,智能,眼镜,,MicroOLED,1479,,券后价,32人收货,上海,,30天价保,退货宝,兆为VR,,包邮,
【政府补贴15%】华为三代华为2黑科技蓝牙耳机面对面翻译墨镜华为四代强劲续航,智能,眼镜,智能,,759,,补贴价,32人收货,河南,郑州,热销爆款,满500减50,华为舒耀专卖店,眼镜,已补700元,回头客5万
【国补至高再减700】PICO4Ultra MR混合现实VR游戏机PICO4设备一体机体感Steam非ar  quest3,眼镜,,,高通,4297,0.03,券后价,28人收货,上海,,热销爆款,满1500减150,PICO喜咖专卖店,,官方立减1000元,
【叠加消费券 政府补贴立减15%】Rokidmax乐奇ARair高清3d观影游戏直连手机若琪ai非VR苹果visionpro,智能,眼镜,,,2297,0.03,券后价,26人收货,浙江,杭州,热销爆款,满1500减150,rokid旗舰店,,淘金币已抵1.97元,回头客1千
VITURE Pro魔宝坞Switch游戏优选伴侣创新双人游戏观影适配主流AR至高20h续航支持3D视频播放,眼镜,,,,967,0.03,券后价,25人收货,广东,广州,满800减80,官方立减12%,Viture智能设备旗舰店,,3期,
送近视镜片！华为2蓝牙华为4代翻译,智能,眼镜,智能,5.3,1279,,补贴价,24人收货,广东,深圳,满800减80,已补200元,华为五洲联鑫专卖店,眼镜,退货宝,回头客6万
Pico Neo3VR一体机体感vr游戏3D视频steamVR游戏机VR,眼镜,智能,眼镜,高通,1140,,券后价,24人收货,广东,中山,3期,店铺满1100减10,VR商铺,,包邮,
GOOVIS D4 Lite移动观影主机 超级媒体播放器 头戴显示器控制盒 AR VR XR通用 双typec盒子,智能,眼镜,,,1299,,券后价,24人收货,广东,深圳,满800减80,官方立减400元,goovis酷睿视旗舰店,,6期,7年老店
【2025新品发售】华为2钛空圆框光学镜4代蓝牙耳机配镜,智能,眼镜,,5.3,1279,,券后价,22人收货,河南,郑州,退货宝,包邮,华为乐之途专卖店,,,回头客3万
【新品上市】Xiaomi小米AI 超长续航 骨传导高清视频拍摄录制男女同款墨镜2025年度新品,眼镜,智能,眼镜,,1999,,券后价,21人收货,广东,东莞,包邮,,小米鑫乐华达专卖店,智能,,回头客5千
【入会下单立减250 赠依视路镜片】PICO 4 Ultra 一体机vr全景vrvr设备一体机vr投屏vr游戏,智能,眼镜,眼镜,高通,4297,0.03,券后价,20人收货,山东,青岛,满1500减150,官方立减12%,PICO旗舰店,眼镜,,回头客1千
