时间及产品型号,评论内容
2023年10月11日 · 钛空光学眼镜【新品上市】,一直没有发货，只能退了，店家服务很好
2023年10月14日 · 飞行员全框光学镜三代【热卖旗舰款】,大小合适，佩戴舒适，操作简单，蓝牙灵敏！
2023年10月30日 · 钛空光学眼镜【新品上市】,首先说差评！  9月30日全款预购，写明10月1好开始发货。一直到10月30日都说没货。  为了不超时发货，竟然发了小瓶清洗液，没货没眼镜，你搞的什么预购  同样价格华为旗舰店全都发了，你这代理店一个都没发。你这抹黑华为品牌啊  大家看清楚了，别再这家店里买东西了
2023年11月14日 · 方形半框光学镜三代【热卖旗舰款】,收到货之后用了，感受很好，质量不错，正品度数配的也对，总体来说使用效果挺好。
2023年11月19日 · 方形半框光学镜三代【热卖旗舰款】,说实话，超级好用，开心的购物
2023年11月21日 · 方形半框光学2【新品上市】,确认收货了，客服饼饼服务非常好，眼镜超赞的说，还送了镜片
2023年11月27日 · 飞行员光学2【新品上市】,第一次体验这种高科技眼镜，接听电话很方便，听音乐音质也很好，非常不错的体验
2023年11月28日 · 智能眼镜2【方形无框光学】新品,眼镜很轻，送的镜片直接可以使用，音质不错，平时开车听音乐，听书，接电话很方便。
2023年11月28日 · 智能眼镜2【飞行员光学镜】2023新品,拿到眼睛就来配镜片，产品很好，很满意，客服也挺好，愉快的一次购物
2023年11月29日 · 智能眼镜2【方形半框光学镜】2023新品,发货挺快！朴实无华！好评！
2023年11月29日 · 金丝光学眼镜2【新品上市】,体验不错，900度的镜片➕镜架重量参考。
2023年11月30日 · 智能眼镜2【飞行员光学镜】2023新品,很好用，链接很稳很快，耳机跟眼镜的完美结合。
2023年12月10日 · 智能眼镜2【钛空光学镜】2023新品,颜值超高，这个就不说了。声音音质相比二代简直就是质的提升。续航这个还没有试出来，什么时候出去一整天试一试，看看能连续听多久。原来的智能眼镜是真不行，4个小时。希望这个真的像宣传的那样能达到11个小时。顺便说一下，那个叫楚然的售后服务还不错。
2023年12月11日 · 智能眼镜2【方形无框光学镜】2023新品.,挺好的，和说明一样，很轻，很合适
2023年12月13日 · 智能眼镜2【飞行员光学镜】2023新品,宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买
2023年12月16日 · 智能眼镜2【金丝光学镜】2023新品,商家送的镜片用不上  自己去眼镜店配的镜片 400度 克重给姐妹们参考
2023年12月16日 · 智能眼镜2【钛空光学镜】2023新品,买东西还是要擦亮眼睛，从来没有差评过。新东西就叫你走售后。
2023年12月18日 · 智能眼镜2【飞行员光学镜】2023新品,一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，好评
2023年12月19日 · 智能眼镜2【钛空光学镜】2023新品.,眼睛款式非常的好看，续航也非常好，带起来也很轻。
2023年12月20日 · 智能眼镜2【金丝光学镜】2023新品,态度好，质量好，速度快，十分不错的购物体验
2023年12月21日 · 智能眼镜2【飞行员光学镜】2023新品.,真正用了发现真的好用，尤其是戴耳机久了之后，发现眼镜式的很方便，也好用，电量足够用两天的，也不会有电池焦虑，音质也比想象的要好，追剧，听歌，打电话都挺好，就是礼物都没给，和店家在协商，等发货后继续追评
2023年12月23日 · 智能眼镜2【方形半框光学镜】2023新品,眼镜非常棒，整体发音很不错，店家还送了一副近视镜片。配镜专业，清晰。物流发的顺丰特别快。好评。
2023年12月24日 · 智能眼镜2【飞行员光学镜】2023新品,眼镜非常好用，骑车、办公都可以用，店铺配了防蓝光眼镜片也很好用，骑自行车的时候可以听歌，接电话，唤醒语音感觉实用性很强，充电也很方便，楚然客服的服务很好。可以设置触感滑动增加了实用性。
2023年12月26日 · 智能眼镜2【飞行员光学镜】2023新品.,特地找了一家连镜片一起配的，就是怕自己手残党装不了，结果镜片跟眼镜还给你分开发，还让自己装，搓得手疼都没弄好，超级差的体验。
2023年12月2日 · 智能眼镜2【钛空光学镜】2023新品,商家寄给我的时候就是这样的。因为试戴了一下，感觉不合适，就没有看细节，直接放回盒子里退货了。商家收到后，拒绝退款，表示我收到第一时间没有反馈，就认定是我造成的。眼镜试戴了一下就有划痕，那么是不是质量有问题。更加夸张的是，商家说镜框内侧都有划痕，就试戴了一下，内侧的划痕是怎么来的？
2023年12月30日 · 智能眼镜2【方形半框光学镜】2023新品,不是一次愉快的购物体验，镜框很轻，带上舒适度不错，但是附送的镜片不知道是个什么材质，带上一上午头昏眼花，尤其对灯光 阳光敏感，完全睁不开眼。官网配个蔡司镜片也就是加个几百块而已。这种镜片还不如收点费配个靠谱点的镜片
2023年12月30日 · 智能眼镜2【方形半框光学镜】2023新品,非常不错！很满意！值得购买！非常不错！很满意！值得购买！
2023年12月30日 · 智能眼镜2【方形无框光学镜】2023新品,带着感觉不错，镜片很好，音质可以。
2023年12月31日 · 智能眼镜2【方形半框光学镜】2023新品,眼镜质量一级棒，佩戴舒适无不适感觉！蓝牙耳机音质感应都相当不错，客服墨墨导购及质询非常耐心讲解礼貌细致！
2023年12月31日 · 智能眼镜2【方形无框光学镜】2023新品,收到货折腾了几天，感觉还是不错，接打电话挺方便。
2023年12月31日 · 智能眼镜2【钛空光学镜】2023新品.,怎么说呢，确实很香，怎么用怎么香，虽然知道就是的带蓝牙耳机的眼镜，可还是觉得香，比官网贵了几百，基本上就相当于配了个镜片吧！
2023年12月3日 · 智能眼镜2【钛空光学镜】2023新品,佩戴十分舒适，因为只有40多克重量而已，但是续航十分满意，10多个小时是很保守的了，日常使用一整天完全没问题。感谢客服小然细心加耐心的售前售后服务。���
2023年12月4日 · 智能眼镜2【飞行员光学镜】2023新品,重量不算很重，目前用起来效果也很不错，使用一段时间再看看吧
2023年12月5日 · 智能眼镜2【方形半框光学镜】2023新品,速度快，服务好，上一代就作为备用眼镜了，这一代有质的提升，推荐购买！楚然加油�
2023年12月5日 · 智能眼镜2【飞行员光学镜】2023新品,眼镜到手确实不错，客服确实很耐心，基本做到秒回
2023年12月6日 · 智能眼镜2【方形半框光学镜】2023新品,是正品，功能也很好用，第二次从他们家采购了，服务不错！
2023年12月6日 · 钛空光学眼镜2【新品上市】,佩戴了快两周，感觉很舒适。音乐声音跟耳机虽然有较大差距但主打一个省事方便，追求音质的慎重，喜欢简化的人适合购入���
2023年12月8日 · 智能眼镜2【钛空光学镜】2023新品,饼饼推荐的真心好，戴着特别舒服，推荐购买
2024年10月10日 · 智能眼镜2【方形无框光学镜.】发布会新品！,丰常好用 时尚美观高大上 开车也非常方便 也不重店里服务好！
2024年10月10日 · 智能眼镜2【方形无框光学镜.】发布会新品！,时尚大气简单操作 都好用，客服评价也挺好 ，还能开车都很方便
2024年10月10日 · 智能眼镜2【方形无框光学镜.】发布会新品！,精致好用 颜值高 佩戴方便 开车出行都非常好用，性价比非常高
2024年10月10日 · 智能眼镜2【方形无框光学镜.】发布会新品！,非常好用，宝贝发货快，值得拥有 。佩戴合适开车都很方便，挺好
2024年10月10日 · 智能眼镜2【飞行员光学镜.】发布会新品！,眼镜带起来很舒适，商家服务很好，顺丰快递包邮到家。
2024年10月11日 · 智能眼镜2【方形半框光学镜.】发布会新品！,这些年最糟糕的一次购物，下次再也不在网上配眼镜了，备注了装好发货，最后镜片和镜框还是分开寄，早上又去眼镜店找人装，真的很烦
2024年10月13日 · 智能眼镜2【方形半框光学镜.】发布会新品！,眼镜上班用真的方便 上班不方便看手机 带耳机久了耳朵又疼   配了这个眼镜不怕漏接来电和微信消息了  续航足够从早上顶到晚上下班
2024年10月14日 · 【加99元送价值269元前框】钛空光学镜+飞行员2透灰色前框,非常轻便， 简洁明了，实用性强，体验极佳，超出预期，非常满意，值得推荐！
2024年10月14日 · 智能眼镜2【方形无框光学镜.】发布会新品！,这是我收到最快最好的货物！货真价实，真材实料，音质很好，反应灵敏！谢谢�
2024年10月14日 · 智能眼镜2【飞行员光学镜.】发布会新品！,非常好，收到货物打开之后发现包装很好，很细致。商品的质量也很好;客服有问必答，态度好，发货速度快，对于这一个价位来说，很值得购买！
2024年10月15日 · 智能眼镜2【方形半框光学镜.】发布会新品！,华为智能眼镜2，时尚科技完美结合，佩戴舒适，功能强大，超值推荐！
2024年10月20日 · 智能眼镜2【方形半框光学镜.】发布会新品！,送老公的，老公很喜欢。
2024年10月22日 · 飞行员光学眼镜2+【送飞行员墨镜夹片.】,眼镜重量很轻，而且佩戴很舒适，镜片度数也没有问题，非常满意，
2024年10月24日 · 【加99元送价值269元前框】飞行员光学镜2+飞行员2黑白渐变前框,漏音严重，很重，一般人戴不了，质量还行了，说白了，就是在耳朵上放了一个小的蓝牙音响，很简单，
2024年10月25日 · 智能眼镜2【钛空光学镜.】发布会新品！,这眼镜真的很轻 佩戴舒适感非常好 以后还会在你家回购的 佳乐客服服务跟很用心
2024年10月26日 · 【加99元送价值269元前框】飞行员光学镜2+飞行员2透灰色前框.,比预期的要好看，浅色的很好看。效果达到预期了。
2024年10月28日 · 【加99元送价值269元前框】钛空光学镜+飞行员2透灰色前框,顺丰快递给力，华为眼镜很帅，客服还送了墨镜夹片，大大的赞，下次换镜架再来光顾！
